qid,qtitle,qtags,assistid,pvnum,visitduration,logdate
0000016A387BBB74000003436375706F795F72656C656173655155455354,day1程式碼問題,"['ml100-2', 'mse', 'mae', 'ml100-2-d01']",ai_tw,1,8,2019-06-23
0000016AC15A2E7E000000F46375706F795F72656C656173655155455354,Day 30 31,"['ml100-2', 'ml100-2-d30', 'ml100-2-d31']",ai_tw,1,46,2019-06-23
0000016AC4811CB7000001056375706F795F72656C656173655155455354,Day_030_HW 葉編碼相關問題,"['ml100-2', 'ml100-2-d30']",ai_tw,1,247,2019-06-23
0000016AC586A413000001106375706F795F72656C656173655155455354,Day30 範例中的training data,"['ml100-2', 'ml100-2-d30']",ai_tw,1,126,2019-06-23
0000016AC68932990000011E6375706F795F72656C656173655155455354,Day30 切分train test 及結果輸出的程式碼,"[' 將梯度提升樹結果輸出pred_gdbt', 'ml100-2', 'ml100-2-d30']",ai_tw,1,128,2019-06-23
0000016AECFECD6B000002466375706F795F72656C656173655155455354,Day034的兩個問題,"['ml100-2', 'ml100-2-d34']",ai_tw,2,1333,2019-06-23
0000016AFA426BDA000002A06375706F795F72656C656173655155455354,Day 40 迴歸分析評估標準,"['ml100-2', 'ml100-2-d40']",ai_tw,1,16,2019-06-23
0000016B27F70C91000000066375706F795F72656C656173655155455354,等寬劃分(D12)後使用LinearRegression()做訓練是否可行?,"['ml100-2', 'ml100-2-d12', 'Linear Regression']",ai_tw,1,0,2019-06-23
0000016B45A8854D000000A36375706F795F72656C656173655155455354,回歸模型的評價機制?,['ml100-2'],ai_tw,1,24,2019-06-23
0000016B47293E28000000AD6375706F795F72656C656173655155455354,Day49該如何blending可以給些提示嗎? 想好多天了,"['day49', ' 混合泛化預測檔', 'ml100-2-d49']",ai_tw,1,1626,2019-06-23
0000016B5735FB7C000001056375706F795F72656C656173655155455354,期中問題,"['ml100-2-d51', '期中考']",ai_tw,1,0,2019-06-23
0000016B5AD226B2000001206375706F795F72656C656173655155455354,D50 No module named 'mlxtend',"['ml100-2', 'ml100-2-d50']",ai_tw,3,1996,2019-06-23
0000016B5FAA022D0000013B6375706F795F72656C656173655155455354,期中考的資料庫是哪個國家?,['ml100-2'],ai_tw,1,18,2019-06-23
0000016B60FC44140000014B6375706F795F72656C656173655155455354,Kaggle的public和private的差別是?,['Kaggle'],ai_tw,1,71,2019-06-23
0000016B6B6B20FF000001726375706F795F72656C656173655155455354,LASSO&Ridge,"['ml100-2', 'ml100-2-d40', 'lasso&ridge']",ai_tw,1,122,2019-06-23
0000016B6D5539DD000001746375706F795F72656C656173655155455354,如何求得模式的Bias/Variance?,"['ml100-2', 'ml100-2-d34']",ai_tw,1,33,2019-06-23
0000016B6DD1A3FB0000017F6375706F795F72656C656173655155455354,D056 投影片輪廓分析的說明矛盾?,"['ml100-2', 'ml100-2-d56']",ai_tw,1,5,2019-06-23
0000016B6E64931E000001816375706F795F72656C656173655155455354,D55_ground truth,"['ml100-2', 'ml100-2-d55']",ai_tw,1,0,2019-06-23
0000016B6FCA34F90000018E6375706F795F72656C656173655155455354,Day 56,"['ml100-2', 'ml100-2-d56']",ai_tw,1,27,2019-06-23
0000016B700ED3D6000001906375706F795F72656C656173655155455354,D56 輪廓分析(Silhouette analysis) 圖如何解讀? 實際價值何在？,"['ml100-2', 'ml100-2-d56']",ai_tw,2,417,2019-06-23
0000016B7A9236BE0000001B6375706F795F72656C656173655155455354,Day58 如何判斷2維均勻分布的分群效果?,"['ml100-2', 'ml100-2-d58']",ai_tw,1,26,2019-06-23
0000016B7E2C8129000000226375706F795F72656C656173655155455354,PCA問題,['PCA'],ai_tw,2,24,2019-06-23
0000016B7E8104B8000000256375706F795F72656C656173655155455354,GradientBoostingRegressor參數問題,"['ml100-2-d48', 'ml100-2', 'GradientBoostingRegressor']",ai_tw,2,5,2019-06-23
0000016B7F26D976000000276375706F795F72656C656173655155455354,回歸模型好壞的評估,['回歸模型'],ai_tw,5,398,2019-06-23
0000016B7F419728000000286375706F795F72656C656173655155455354,時序性資料如何做 cross validation,['cross validation'],ai_tw,4,145,2019-06-23
0000016B8251D3EF000000336375706F795F72656C656173655155455354,程式碼?,"['ml100-2', 'ml100-2-d58']",ai_tw,2,13,2019-06-23
0000016B82883BA1000000386375706F795F72656C656173655155455354,Day58 範例程式碼中的矩陣transformation,"['ml100-2', 'ml100-2-d58']",ai_tw,1,5,2019-06-23
0000016B8357AD130000003E6375706F795F72656C656173655155455354,Day58,"[' 生成', 'ml100-2', 'ml100-2-d58']",ai_tw,2,16,2019-06-23
0000016B837DF08A000000416375706F795F72656C656173655155455354,Day_056_HW,"['day_056_hw', 'silhouette_score', 'ml100-2', 'ml100-2-d56']",ai_tw,1,22,2019-06-23
